WKT,name,description
"POLYGON ((-46.7312009 -23.5517431, -46.7339984 -23.5566383, -46.7338026 -23.5568866, -46.7338509 -23.5570317, -46.7315013 -23.5581701, -46.7310801 -23.5574496, -46.7297551 -23.5580791, -46.7289693 -23.5566457, -46.7295834 -23.5563384, -46.7288559 -23.5550019, -46.728687 -23.5550855, -46.7285663 -23.5548507, -46.7284061 -23.5547603, -46.7266893 -23.5548606, -46.7258686 -23.5552555, -46.7254932 -23.5545292, -46.7312009 -23.5517431))",EP,
"POLYGON ((-46.7315013 -23.5581701, -46.7299636 -23.5588877, -46.7283436 -23.5596548, -46.7276355 -23.5584648, -46.7281451 -23.5582091, -46.7280217 -23.5579682, -46.7288719 -23.557549, -46.7289791 -23.5573524, -46.7286734 -23.5567918, -46.7289693 -23.5566457, -46.7297551 -23.5580791, -46.7310801 -23.5574496, -46.7315013 -23.5581701))",FEA,
"POLYGON ((-46.7258686 -23.5552555, -46.7266893 -23.5548606, -46.7284061 -23.5547603, -46.7285663 -23.5548507, -46.728687 -23.5550855, -46.7288559 -23.5550019, -46.7295834 -23.5563384, -46.7291279 -23.5565697, -46.7286853 -23.5558358, -46.7279048 -23.556164, -46.7276634 -23.5557632, -46.7264833 -23.5563435, -46.7258686 -23.5552555))",barracões,
"POLYGON ((-46.7264833 -23.5563435, -46.7276634 -23.5557632, -46.7282266 -23.5567111, -46.7269874 -23.557252, -46.7264833 -23.5563435))",CDI,
"POLYGON ((-46.7283715 -23.5569434, -46.7286734 -23.5567918, -46.7289791 -23.5573524, -46.7288719 -23.557549, -46.7287577 -23.5576012, -46.7283715 -23.5569434))",sweden,
"POLYGON ((-46.7269874 -23.557252, -46.7282266 -23.5567111, -46.7287577 -23.5576012, -46.7275197 -23.5582046, -46.7269874 -23.557252))",inova,
"POLYGON ((-46.7251379 -23.5546856, -46.726259 -23.5566526, -46.7253578 -23.5570706, -46.7250842 -23.556569, -46.7243708 -23.556928, -46.7235768 -23.5555708, -46.7239845 -23.5553052, -46.7247838 -23.5548282, -46.7251379 -23.5546856))",IP,
"POLYGON ((-46.7250842 -23.556569, -46.7253578 -23.5570706, -46.726259 -23.5566526, -46.727567 -23.5589203, -46.726698 -23.5593432, -46.7258182 -23.5578361, -46.7249599 -23.5582565, -46.7247882 -23.5579369, -46.7241445 -23.5582663, -46.7235973 -23.5573271, -46.7250842 -23.556569))",ECA,
"POLYGON ((-46.7281451 -23.5582091, -46.7276355 -23.5584648, -46.7275197 -23.5582046, -46.7280217 -23.5579682, -46.7281451 -23.5582091))",ECA,
"POLYGON ((-46.727567 -23.5589203, -46.7280601 -23.5598174, -46.726322 -23.5606435, -46.7258231 -23.5597732, -46.727567 -23.5589203))",bancos,
"POLYGON ((-46.7258182 -23.5578361, -46.726698 -23.5593432, -46.7258231 -23.5597732, -46.7249599 -23.5582565, -46.7258182 -23.5578361))",nova reitoria,
,,
"POLYGON ((-46.7235768 -23.5555708, -46.7243708 -23.556928, -46.7235973 -23.5573271, -46.7241445 -23.5582663, -46.7247882 -23.5579369, -46.726322 -23.5606435, -46.7238838 -23.5618978, -46.7224408 -23.5594146, -46.7223764 -23.559095, -46.7221404 -23.5586524, -46.7218721 -23.5583869, -46.720987 -23.5568576, -46.7235768 -23.5555708))",praça do relógio,
,,
"POLYGON ((-46.7279048 -23.556164, -46.7286853 -23.5558358, -46.7291279 -23.5565697, -46.7283715 -23.5569434, -46.7279048 -23.556164))",IRI,
,,
"POLYGON ((-46.7313581 -23.5515754, -46.732254 -23.5511377, -46.7322325 -23.5515065, -46.732313 -23.5518852, -46.7316424 -23.5521827, -46.7313581 -23.5515754))",subestação de energia,
,,
"POLYGON ((-46.7316424 -23.5521827, -46.732313 -23.5518852, -46.7327951 -23.5529162, -46.7321756 -23.5531694, -46.7316424 -23.5521827))",terminal de ônibus,
,,
"POLYGON ((-46.7327951 -23.5529162, -46.7331286 -23.5533693, -46.733319 -23.5535463, -46.7329247 -23.5541659, -46.7328282 -23.5542397, -46.7321756 -23.5531694, -46.7327951 -23.5529162))",DAMA01,
"POLYGON ((-46.7328282 -23.5542397, -46.7329247 -23.5541659, -46.733319 -23.5535463, -46.7335068 -23.5537819, -46.7357706 -23.5550457, -46.7364411 -23.5553899, -46.7397885 -23.5573175, -46.7415642 -23.5572241, -46.7419236 -23.557347, -46.7423045 -23.5576716, -46.7417895 -23.5587091, -46.7407649 -23.5585911, -46.7400943 -23.5585567, -46.7392467 -23.5587878, -46.7389571 -23.5588075, -46.7388927 -23.559014, -46.7386674 -23.5592402, -46.7384743 -23.5591369, -46.7381685 -23.5591123, -46.7349016 -23.5572241, -46.7347889 -23.5569045, -46.7341414 -23.5565178, -46.7328282 -23.5542397))",IPT,
"POLYGON ((-46.7313581 -23.5515754, -46.7316424 -23.5521827, -46.7321756 -23.5531694, -46.7328282 -23.5542397, -46.7341414 -23.5565178, -46.7347889 -23.5569045, -46.7349016 -23.5572241, -46.7381685 -23.5591123, -46.7384743 -23.5591369, -46.7386674 -23.5592402, -46.7388295 -23.5595274, -46.7390682 -23.5596429, -46.7425202 -23.5597069, -46.743054 -23.5601002, -46.7434375 -23.5602183, -46.7431666 -23.5606141, -46.7427429 -23.5603707, -46.7425229 -23.5600855, -46.7423352 -23.5599675, -46.7389931 -23.5599232, -46.7386659 -23.5597364, -46.7383279 -23.5596774, -46.7380061 -23.5593085, -46.7347606 -23.5574154, -46.7343958 -23.5574695, -46.7338509 -23.5570317, -46.7338026 -23.5568866, -46.7339984 -23.5566383, -46.7312009 -23.5517431, -46.7313581 -23.5515754))",av. almeida prado,
,,
"POLYGON ((-46.7209897 -23.5568576, -46.7218748 -23.5583869, -46.7221431 -23.5586524, -46.7223791 -23.559095, -46.7224435 -23.5594146, -46.7228858 -23.560176, -46.7212659 -23.5609754, -46.7210002 -23.5605152, -46.7204638 -23.5603653, -46.7200051 -23.5605988, -46.7200776 -23.5600752, -46.720032 -23.5595613, -46.7190315 -23.5578255, -46.7209897 -23.5568576))",CRUSP,
"POLYGON ((-46.7212659 -23.5609754, -46.7228858 -23.560176, -46.7234636 -23.5611851, -46.7219267 -23.5619153, -46.7214731 -23.5618003, -46.7215217 -23.5614237, -46.7212659 -23.5609754))",prefeitura,
"POLYGON ((-46.7234636 -23.5611851, -46.7238838 -23.5618978, -46.7215455 -23.5630099, -46.7212451 -23.5628919, -46.7209742 -23.5623105, -46.7213149 -23.562083, -46.7214731 -23.5618003, -46.7219267 -23.5619153, -46.7234636 -23.5611851))",brasiliana,
,,
"POLYGON ((-46.7200051 -23.5605988, -46.7204638 -23.5603653, -46.7210002 -23.5605152, -46.7215217 -23.5614237, -46.7214731 -23.5618003, -46.7213149 -23.562083, -46.7209742 -23.5623105, -46.720501 -23.5623708, -46.7199511 -23.5621569, -46.7197687 -23.5619479, -46.7192779 -23.5620807, -46.7191491 -23.561852, -46.7197392 -23.5613677, -46.7197499 -23.5610063, -46.7199189 -23.5607186, -46.7200051 -23.5605988))",praça do relógio solar,
,,
"POLYGON ((-46.7190315 -23.5578255, -46.720032 -23.5595613, -46.7200776 -23.5600752, -46.7200051 -23.5605988, -46.7197499 -23.5610063, -46.7197392 -23.5613677, -46.7191491 -23.561852, -46.718801 -23.5617237, -46.7183826 -23.5618614, -46.7182519 -23.5620488, -46.7182009 -23.5622086, -46.7171817 -23.5627102, -46.7165997 -23.561744, -46.7164092 -23.56168, -46.715175 -23.5619496, -46.7151267 -23.5618685, -46.7146533 -23.5619324, -46.7144897 -23.5614628, -46.7140283 -23.561512, -46.7139935 -23.5604671, -46.7138406 -23.5602507, -46.7141812 -23.5599877, -46.7150556 -23.5595574, -46.7180543 -23.5581019, -46.7190315 -23.5578255))",CEPE,
"POLYGON ((-46.7130184 -23.5586663, -46.7319634 -23.5494266, -46.7324516 -23.5506855, -46.727232 -23.5532623, -46.7243406 -23.554654, -46.7234367 -23.555308, -46.7201322 -23.5569025, -46.7190231 -23.5572836, -46.715614 -23.5589087, -46.7149013 -23.5591998, -46.7140886 -23.5595637, -46.7136487 -23.5598342, -46.7133168 -23.5601667, -46.7126251 -23.5598044, -46.712663 -23.5594174, -46.7130184 -23.5586663))",raia,
"POLYGON ((-46.7138406 -23.5602507, -46.7139935 -23.5604671, -46.7140283 -23.561512, -46.7139151 -23.5639227, -46.7130622 -23.5638981, -46.7132016 -23.5614198, -46.7132821 -23.5611002, -46.7134699 -23.5606773, -46.7138406 -23.5602507))",EEFE,
"POLYGON ((-46.7130622 -23.5638981, -46.7139151 -23.5639227, -46.713902 -23.5643654, -46.7134219 -23.5645793, -46.7131296 -23.5644908, -46.713041 -23.5643531, -46.7130622 -23.5638981))",centro de informações,
,,
"POLYGON ((-46.7140283 -23.561512, -46.7144897 -23.5614628, -46.7146533 -23.5619324, -46.7151267 -23.5618685, -46.715175 -23.5619496, -46.7164092 -23.56168, -46.7165997 -23.561744, -46.7171817 -23.5627102, -46.713902 -23.5643654, -46.7140283 -23.561512))",educação,
"POLYGON ((-46.7126251 -23.5598044, -46.7133168 -23.5601667, -46.712907 -23.560772, -46.7126361 -23.5606909, -46.7126251 -23.5598044))",ptrem,
"POLYGON ((-46.7324516 -23.5506855, -46.732254 -23.5511377, -46.7313581 -23.5515754, -46.7312009 -23.5517431, -46.7254932 -23.5545292, -46.7251379 -23.5546856, -46.7247838 -23.5548282, -46.7235768 -23.5555708, -46.720987 -23.5568576, -46.7190315 -23.5578255, -46.7180543 -23.5581019, -46.7141812 -23.5599877, -46.7138406 -23.5602507, -46.7134699 -23.5606773, -46.7132821 -23.5611002, -46.7132016 -23.5614198, -46.7130622 -23.5638981, -46.713041 -23.5643531, -46.7131296 -23.5644908, -46.712969 -23.5645008, -46.7126578 -23.5646753, -46.7124379 -23.5646753, -46.712454 -23.5641123, -46.7126361 -23.5606909, -46.712907 -23.560772, -46.7133168 -23.5601667, -46.7136487 -23.5598342, -46.7140886 -23.5595637, -46.715614 -23.5589087, -46.7190231 -23.5572836, -46.7201322 -23.5569025, -46.7234367 -23.555308, -46.7243406 -23.554654, -46.7324516 -23.5506855))",av. mello moraes,
,,
"POLYGON ((-46.7124379 -23.5646753, -46.7126578 -23.5646753, -46.712969 -23.5645008, -46.7131296 -23.5644908, -46.7134219 -23.5645793, -46.713902 -23.5643654, -46.7182009 -23.5622086, -46.7184856 -23.5625774, -46.7136496 -23.564913, -46.7135933 -23.5651957, -46.7133545 -23.56539, -46.7130461 -23.5654514, -46.7127537 -23.5653408, -46.7125901 -23.5653973, -46.7124399 -23.5651121, -46.7124379 -23.5646753))",av. da universidade,
,,
"POLYGON ((-46.7386674 -23.5592402, -46.7388927 -23.559014, -46.7389571 -23.5588075, -46.7392467 -23.5587878, -46.7400943 -23.5585567, -46.7407649 -23.5585911, -46.7417895 -23.5587091, -46.7423045 -23.5576716, -46.7431062 -23.5582756, -46.7439002 -23.5586493, -46.7439592 -23.5590329, -46.7437848 -23.5602253, -46.7434375 -23.5602183, -46.743054 -23.5601002, -46.7425202 -23.5597069, -46.7390682 -23.5596429, -46.7388295 -23.5595274, -46.7386674 -23.5592402))",antiga prefeitura,
,,
"POLYGON ((-46.7427429 -23.5603707, -46.7431666 -23.5606141, -46.7418449 -23.5624567, -46.7416813 -23.5629066, -46.7416813 -23.5633147, -46.7413916 -23.5633737, -46.7415177 -23.5626706, -46.7416357 -23.5624051, -46.7421078 -23.5616257, -46.7426442 -23.5608807, -46.7426657 -23.560807, -46.7427429 -23.5603707))",av. ernesto leme,
,,
"POLYGON ((-46.7125901 -23.5653973, -46.7127537 -23.5653408, -46.7130461 -23.5654514, -46.7133545 -23.56539, -46.7135933 -23.5651957, -46.7136496 -23.564913, -46.7138589 -23.5648096, -46.7137704 -23.5654512, -46.7138562 -23.5660118, -46.7144087 -23.566978, -46.7125205 -23.566919, -46.7125901 -23.5653973))",acadepol,
