WKT,name,description
"POLYGON ((-46.729758 -23.5524544, -46.7312009 -23.5517431, -46.7320539 -23.5532363, -46.7306163 -23.5539297, -46.729758 -23.5524544))",mamemipenu,
"POLYGON ((-46.7304102 -23.5538241, -46.7288331 -23.5545765, -46.7281035 -23.5532635, -46.7296645 -23.5524964, -46.7304102 -23.5538241))",mecânica,
,,
"POLYGON ((-46.7291537 -23.554847, -46.7294433 -23.5553682, -46.7291268 -23.5555157, -46.7288559 -23.5550019, -46.728687 -23.5550855, -46.7285663 -23.5548507, -46.7289364 -23.5546748, -46.7288707 -23.5545581, -46.7289753 -23.5545151, -46.7291537 -23.554847))",TPN,
"POLYGON ((-46.7281035 -23.5532635, -46.7288331 -23.5545765, -46.7284061 -23.5547603, -46.7266893 -23.5548606, -46.7258686 -23.5552555, -46.7254932 -23.5545292, -46.7281035 -23.5532635))",hidráulica,
,,
"POLYGON ((-46.7306564 -23.5539889, -46.7320994 -23.5533103, -46.7332884 -23.555399, -46.7318795 -23.5560936, -46.7306564 -23.5539889))",civil,
"POLYGON ((-46.7315148 -23.5572427, -46.7310801 -23.5574496, -46.7297551 -23.5580791, -46.7291384 -23.5569722, -46.730914 -23.5561609, -46.7315148 -23.5572427))",elétrica,
,,
"POLYGON ((-46.729129 -23.5547931, -46.7298512 -23.5544845, -46.7304628 -23.5555885, -46.7297708 -23.5559278, -46.729129 -23.5547931))",administração,
"POLYGON ((-46.7312286 -23.5565006, -46.7331625 -23.5555466, -46.7335032 -23.5561515, -46.7329721 -23.5563973, -46.7330311 -23.5565104, -46.7334227 -23.5572382, -46.7320279 -23.5579217, -46.7312286 -23.5565006))",biênio,
,,
"POLYGON ((-46.7329721 -23.5563973, -46.7335032 -23.5561515, -46.7338026 -23.5568866, -46.7338509 -23.5570317, -46.7334227 -23.5572382, -46.7329721 -23.5563973))",produção,
"POLYGON ((-46.7231753 -23.5574719, -46.7237493 -23.558416, -46.7233952 -23.5592077, -46.7224672 -23.5590614, -46.7224296 -23.5573453, -46.7231753 -23.5574719))",cerrado,
"POLYGON ((-46.721228 -23.5571338, -46.7211207 -23.5568634, -46.723245 -23.555816, -46.7240658 -23.557001, -46.7231699 -23.5574387, -46.7221024 -23.5572617, -46.721228 -23.5571338))",mata das araucárias,
,,
"POLYGON ((-46.7224672 -23.5590614, -46.7217483 -23.5579501, -46.7220648 -23.5572813, -46.7224296 -23.5573453, -46.7224672 -23.5590614))",restinga,
"POLYGON ((-46.7224672 -23.5590614, -46.7237335 -23.5592605, -46.7236484 -23.5599625, -46.7245335 -23.5600215, -46.7245281 -23.5608574, -46.7237932 -23.5608869, -46.7233426 -23.5607984, -46.7225165 -23.5594412, -46.7224672 -23.5590614))",mata semi decídua,
,,
"POLYGON ((-46.7242372 -23.5592748, -46.7242719 -23.5584205, -46.7241592 -23.5582976, -46.7247707 -23.5579828, -46.7254413 -23.5591974, -46.7248566 -23.5594236, -46.7242372 -23.5592748))",mata semi decídua,
,,
"POLYGON ((-46.7254413 -23.5591974, -46.7262463 -23.5606202, -46.7239182 -23.5618396, -46.7233426 -23.5607984, -46.7237932 -23.5608869, -46.7245281 -23.5608574, -46.7245364 -23.5595507, -46.7254413 -23.5591974))",mata atlântica,
,,
"POLYGON ((-46.7235633 -23.5588187, -46.7235258 -23.5589269, -46.7231771 -23.5588237, -46.7230269 -23.5589613, -46.7227319 -23.5589318, -46.7228445 -23.5581451, -46.7230698 -23.5578894, -46.7232254 -23.5580467, -46.7232147 -23.5587155, -46.7235633 -23.5588187))",campos rupestres,
,,
"POLYGON ((-46.7281165 -23.555846, -46.7288299 -23.5554846, -46.7289667 -23.5557083, -46.7282264 -23.5560304, -46.7281165 -23.555846))",CEDIR,
"POLYGON ((-46.7285663 -23.5548507, -46.7287548 -23.5552113, -46.7284678 -23.5553465, -46.7282773 -23.5549826, -46.7285663 -23.5548507))",incubadora tecnológica de cooperativas populares,
,,
"POLYGON ((-46.7282773 -23.5549826, -46.7284678 -23.5553465, -46.7282566 -23.5554516, -46.728052 -23.5550791, -46.7282773 -23.5549826))",núcleo de artes afrobrasileiras,
,,
"POLYGON ((-46.728052 -23.5550791, -46.7282566 -23.5554516, -46.7279753 -23.5555766, -46.7277929 -23.5552016, -46.728052 -23.5550791))",CEDIR,
"POLYGON ((-46.7281165 -23.555846, -46.7279753 -23.5555766, -46.7284255 -23.5553708, -46.7285623 -23.5556192, -46.7281165 -23.555846))",genoma,
"POLYGON ((-46.7274394 -23.5558621, -46.7272195 -23.555454, -46.7277929 -23.5552016, -46.7279753 -23.5555766, -46.7274394 -23.5558621))",serviço técnico de redes elétricas,
,,
"POLYGON ((-46.7272195 -23.555454, -46.7274394 -23.5558621, -46.7264833 -23.5563435, -46.7262351 -23.5558965, -46.7272195 -23.555454))",ASEP - associação dos servidores da escola politécnica,
,,
"POLYGON ((-46.7322707 -23.5524122, -46.7324706 -23.5527527, -46.732244 -23.5528621, -46.7320481 -23.5525326, -46.7322707 -23.5524122))",centro de abastecimento de hidrogênio,
,,
"POLYGON ((-46.7340043 -23.5562799, -46.7332721 -23.55501, -46.7334665 -23.5549251, -46.7342873 -23.5554316, -46.7345287 -23.5560709, -46.7340043 -23.5562799))",inteli,
"POLYGON ((-46.7221872 -23.5587394, -46.7223026 -23.5589557, -46.7219592 -23.5591229, -46.7218412 -23.5589078, -46.7221872 -23.5587394))",casa das caldeiras,
,,
"POLYGON ((-46.7219592 -23.5591229, -46.7223026 -23.5589557, -46.7223764 -23.559095, -46.7220471 -23.5592791, -46.7219592 -23.5591229))",praça dos pássaros,
,,
"POLYGON ((-46.7218412 -23.5589078, -46.7220471 -23.5592791, -46.7214821 -23.5595443, -46.7212273 -23.5590846, -46.7217651 -23.5588129, -46.7217115 -23.5587195, -46.721926 -23.5586113, -46.7220615 -23.5587969, -46.7218412 -23.5589078))",SAS/CARE,
"POLYGON ((-46.7208142 -23.5585012, -46.7215693 -23.5581324, -46.7216725 -23.5583193, -46.721926 -23.5586113, -46.7211039 -23.5589979, -46.7208142 -23.5585012))",colmeias,
,,
"POLYGON ((-46.7215891 -23.5597111, -46.722202 -23.5594173, -46.7224408 -23.5594146, -46.7228831 -23.560176, -46.7220867 -23.5605692, -46.7215891 -23.5597111))",espaço das artes,
,,
"POLYGON ((-46.7206007 -23.5598087, -46.7213705 -23.5594424, -46.7216522 -23.5599538, -46.7208958 -23.5603078, -46.7206007 -23.5598087))",bandejão central,
,,
"POLYGON ((-46.7208958 -23.5603078, -46.7216522 -23.5599538, -46.7220196 -23.5605992, -46.7212659 -23.5609754, -46.7208958 -23.5603078))",DCE,
"POLYGON ((-46.7204942 -23.557927, -46.7213612 -23.5575059, -46.7215825 -23.5578766, -46.7207034 -23.5583106, -46.7204942 -23.557927))",anfiteatro camargo guarnieri,
,,
"POLYGON ((-46.7208111 -23.5594692, -46.7209224 -23.5596548, -46.7206007 -23.5598087, -46.7204732 -23.5595798, -46.7208111 -23.5594692))",uspão,
"POLYGON ((-46.7190315 -23.5578255, -46.7193613 -23.5576582, -46.7206352 -23.5598647, -46.7204638 -23.5603653, -46.7200051 -23.5605988, -46.7200776 -23.5600752, -46.720032 -23.5595613, -46.7190315 -23.5578255))",festa do livro,
,,
"POLYGON ((-46.7219938 -23.5606713, -46.7222888 -23.5611728, -46.7216451 -23.5614998, -46.7214144 -23.560954, -46.7219938 -23.5606713))",EDUSP,
"POLYGON ((-46.7232945 -23.5608788, -46.7228225 -23.5611025, -46.7226267 -23.5607534, -46.7228707 -23.5606256, -46.722801 -23.560478, -46.7230102 -23.5603895, -46.7232945 -23.5608788))",base da polícia,
,,
"POLYGON ((-46.7232945 -23.5608788, -46.7234636 -23.5611851, -46.722856 -23.561475, -46.7226763 -23.5611677, -46.7228225 -23.5611025, -46.7232945 -23.5608788))",IEA,
"POLYGON ((-46.7222798 -23.5613341, -46.7224595 -23.5616635, -46.7219267 -23.5619153, -46.7215261 -23.5618111, -46.721675 -23.561623, -46.7222798 -23.5613341))",AGUIA,
"POLYGON ((-46.7126578 -23.5646753, -46.712969 -23.5645008, -46.7131296 -23.5644908, -46.7134219 -23.5645793, -46.7136496 -23.564913, -46.7135933 -23.5651957, -46.7133545 -23.56539, -46.7130461 -23.5654514, -46.7127537 -23.5653408, -46.7125883 -23.565033, -46.7126578 -23.5646753))",praça reinaldo porchat,
,,
"POLYGON ((-46.7203266 -23.562297, -46.7204151 -23.5620979, -46.7206646 -23.5621298, -46.7209998 -23.5620216, -46.7211413 -23.5621981, -46.7209742 -23.5623105, -46.720501 -23.5623708, -46.7203266 -23.562297))",dokidoki,
"POLYGON ((-46.7197392 -23.5613677, -46.7200537 -23.5618916, -46.7197687 -23.5619479, -46.7192779 -23.5620807, -46.7191491 -23.561852, -46.7197392 -23.5613677))",praça do espelho d'agua,
,,
"POLYGON ((-46.7386674 -23.5592402, -46.7388927 -23.559014, -46.7389571 -23.5588075, -46.7392013 -23.5587904, -46.7392093 -23.5596448, -46.7390682 -23.5596429, -46.7388295 -23.5595274, -46.7386674 -23.5592402))",OCA,
"POLYGON ((-46.7392013 -23.5587904, -46.7392467 -23.5587878, -46.7400943 -23.5585567, -46.7407649 -23.5585911, -46.7417895 -23.5587091, -46.7414605 -23.5591343, -46.7414659 -23.5596887, -46.7392093 -23.5596448, -46.7392013 -23.5587904))",bandejão prefeitura,
,,
"POLYGON ((-46.7414659 -23.5596887, -46.7414605 -23.5591343, -46.742523 -23.5591412, -46.7425202 -23.5597069, -46.7414659 -23.5596887))",MAE,
"POLYGON ((-46.7182009 -23.5622086, -46.7182519 -23.5620488, -46.7183826 -23.5618614, -46.718801 -23.5617237, -46.7191491 -23.561852, -46.7192779 -23.5620807, -46.7193341 -23.5622806, -46.7191531 -23.5626109, -46.7187239 -23.5626453, -46.7184856 -23.5625774, -46.7182009 -23.5622086))",praça rubião meira,
,,
"POLYGON ((-46.7212451 -23.5628919, -46.7215455 -23.5630099, -46.7216621 -23.563526, -46.7215134 -23.5638754, -46.7209582 -23.5639246, -46.7206551 -23.5636935, -46.7205558 -23.5633763, -46.720796 -23.5630222, -46.7212451 -23.5628919))",praça jorge americano,
,,
"POLYGON ((-46.7271957 -23.5669049, -46.7268953 -23.5673794, -46.7252001 -23.5664944, -46.7255059 -23.5659953, -46.7271957 -23.5669049))",SEADE,
"POLYGON ((-46.7293869 -23.5676895, -46.7296524 -23.5676416, -46.7299529 -23.56766, -46.7302318 -23.567864, -46.7303284 -23.5681886, -46.7301422 -23.5685782, -46.7299048 -23.5689113, -46.7288883 -23.5684054, -46.7293869 -23.5676895))",praça alípio corrêa neto,
,,
"POLYGON ((-46.7299093 -23.5689057, -46.7301422 -23.5685782, -46.730207 -23.5684429, -46.7305369 -23.568532, -46.731304 -23.5684976, -46.7313282 -23.568773, -46.7311258 -23.5687989, -46.7307543 -23.5691849, -46.7304848 -23.5691824, -46.7299093 -23.5689057))",vila indiana,
,,
"POLYGON ((-46.7198223 -23.5629739, -46.7205558 -23.5633763, -46.7203124 -23.5637062, -46.7195953 -23.5633696, -46.7198223 -23.5629739))",CCJ,
,,
"POLYGON ((-46.7216621 -23.563526, -46.7217506 -23.5633499, -46.7239561 -23.5622669, -46.7247358 -23.5634171, -46.7230232 -23.5642628, -46.7216621 -23.563526))",história e geografia,
,,
"POLYGON ((-46.7239561 -23.5622669, -46.7250834 -23.5617095, -46.7257466 -23.5628325, -46.7251247 -23.5631319, -46.7247358 -23.5634171, -46.7239561 -23.5622669))",filosofia e sociais,
,,
"POLYGON ((-46.7254643 -23.5623531, -46.7259048 -23.5621515, -46.7261757 -23.5626223, -46.7257466 -23.5628325, -46.7254643 -23.5623531))",florestan fernandes,
,,
"POLYGON ((-46.7250834 -23.5617095, -46.7261061 -23.5612058, -46.7265487 -23.5620232, -46.7268491 -23.5621265, -46.7268625 -23.562365, -46.7267337 -23.5623502, -46.7261757 -23.5626223, -46.7259048 -23.5621515, -46.7254643 -23.5623531, -46.7250834 -23.5617095))",letras,
"POLYGON ((-46.728542 -23.5617248, -46.7300072 -23.5609958, -46.7300408 -23.5610465, -46.7301327 -23.5612201, -46.7292449 -23.5620793, -46.7290491 -23.5623547, -46.7286795 -23.5620247, -46.728542 -23.5617248))",adm da FFLCH,
,,
"POLYGON ((-46.727127 -23.5626713, -46.7275977 -23.5624599, -46.727819 -23.5625336, -46.72761 -23.5630829, -46.7272948 -23.5629464, -46.727127 -23.5626713))",SHRIMP,
"POLYGON ((-46.7278642 -23.5615219, -46.7280975 -23.5619448, -46.7279935 -23.5620736, -46.7278856 -23.5623616, -46.7275597 -23.5622804, -46.7272835 -23.5617936, -46.7273143 -23.5617789, -46.7278642 -23.5615219))",museu da geo,
,,
"POLYGON ((-46.7339984 -23.5566383, -46.7341414 -23.5565178, -46.7347889 -23.5569045, -46.7349016 -23.5572241, -46.7347606 -23.5574154, -46.7343958 -23.5574695, -46.7341864 -23.5572989, -46.7338509 -23.5570317, -46.7338026 -23.5568866, -46.7339984 -23.5566383))",praça do cavalo,
,,
"POLYGON ((-46.7281813 -23.5604318, -46.7285849 -23.5611632, -46.7279694 -23.5614877, -46.7275281 -23.5607551, -46.7281813 -23.5604318))",olaria,
,,
"POLYGON ((-46.7281813 -23.5604318, -46.7289305 -23.5600945, -46.7293556 -23.5608112, -46.7285849 -23.5611632, -46.7281813 -23.5604318))",STMEEC,
"POLYGON ((-46.731519 -23.5600171, -46.7319789 -23.5599617, -46.7323249 -23.5601657, -46.7324157 -23.5603708, -46.7321537 -23.5606058, -46.7316306 -23.5606722, -46.7314644 -23.5605878, -46.731347 -23.5604048, -46.7313281 -23.5601723, -46.731519 -23.5600171))",praça do oceanográfico,
,,
